
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
21.321, , 22.6862, -1.42109e-12, 1.28635, 1, 1.39809e-18, 4.05949e-05, -3.42689e-14, , , , , , , , , , , , , 
21.821, , 33.2122, -2.14252e-12, 1.28567, 1, 1.44464e-18, 4.19535e-05, -3.4269e-14, , , , , , , , , , , , , 
22.321, , 45.7382, -3.00103e-12, 1.28479, 1, 1.49118e-18, 4.33121e-05, -3.42691e-14, , , , , , , , , , , , , 
22.821, , 60.2642, -3.99661e-12, 1.28372, 1, 1.53773e-18, 4.46707e-05, -3.42693e-14, , , , , , , , , , , , , 
23.321, , 76.7902, -5.12928e-12, 1.28243, 1, 1.58427e-18, 4.60293e-05, -3.42694e-14, , , , , , , , , , , , , 
23.821, , 95.3162, -6.39903e-12, 1.28093, 1, 1.63081e-18, 4.73879e-05, -3.42695e-14, , , , , , , , , , , , , 
24.321, , 115.842, -7.80586e-12, 1.27919, 1, 1.67735e-18, 4.87464e-05, -3.42696e-14, , , , , , , , , , , , , 
24.821, , 138.368, -9.34977e-12, 1.27721, 1, 1.72389e-18, 5.0105e-05, -3.42698e-14, , , , , , , , , , , , , 
25.321, , 162.894, -1.10308e-11, 1.27498, 1, 1.77043e-18, 5.14636e-05, -3.42699e-14, , , , , , , , , , , , , 
25.821, , 189.42, -1.28489e-11, 1.27248, 1, 1.81696e-18, 5.28221e-05, -3.42701e-14, , , , , , , , , , , , , 
26.321, , 216.558, 0.693959, 1.26974, 1, -3.98206e-08, 5.41807e-05, -0.000275393, , , , , , , , , , , , , 
26.821, , 241.754, 3.36128, 1.26695, 0.999999, -1.49602e-07, 5.55394e-05, -0.00102019, , , , , , , , , , , , , 
27.321, , 264.953, 8.03274, 1.26423, 0.999998, -2.87726e-07, 5.68981e-05, -0.00194076, , , , , , , , , , , , , 
27.821, , 286.161, 14.712, 1.26164, 0.999996, -4.37531e-07, 5.82568e-05, -0.00292288, , , , , , , , , , , , , 
