Format Version,1.23,Take Name,Take 2022-04-21 07.56.13 AM_014,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2022-04-21 12.49.50.635 DU.,Total Frames in Take,5062,Total Exported Frames,5062,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1273,Unlabeled 1273,Unlabeled 1273
,ID,"C48B0","C48B0","C48B0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,583.620850,48.648876,-300.205505
1,0.033333,583.616516,48.642902,-300.193176
2,0.066667,583.595032,48.653214,-300.205566
3,0.100000,583.612122,48.636078,-300.217102
4,0.133333,583.617676,48.655163,-300.208954
5,0.166667,583.622009,48.642879,-300.201843
6,0.200000,583.604553,48.647392,-300.210846
7,0.233333,583.622192,48.639175,-300.184235
8,0.266667,583.625488,48.656513,-300.207275
9,0.300000,583.606995,48.642555,-300.193359
10,0.333333,583.614319,48.654442,-300.222809
11,0.366667,583.603455,48.637291,-300.194153
12,0.400000,583.619263,48.641041,-300.171783
13,0.433333,583.633667,48.643143,-300.231293
14,0.466667,583.617981,48.647247,-300.216736
15,0.500000,583.624756,48.629410,-300.231812
16,0.533333,583.640991,48.640175,-300.188477
17,0.566667,583.604492,48.631538,-300.216339
18,0.600000,583.595642,48.640301,-300.181732
19,0.633333,583.621521,48.651073,-300.192780
20,0.666667,583.617493,48.637707,-300.189117
21,0.700000,583.616333,48.630482,-300.198364
22,0.733333,583.626221,48.654995,-300.213928
23,0.766667,583.608704,48.649303,-300.198059
24,0.800000,583.610962,48.618557,-300.225403
25,0.833333,583.606995,48.637547,-300.217834
26,0.866667,583.617676,48.639774,-300.201141
27,0.900000,583.607300,48.655537,-300.176666
28,0.933333,583.624084,48.634621,-300.204346
29,0.966667,583.637207,48.652012,-300.213013
30,1.000000,583.641479,48.637009,-300.197174
31,1.033333,583.586304,48.645592,-300.176361
32,1.066667,583.610657,48.657772,-300.221954
33,1.100000,583.634094,48.659428,-300.197083
34,1.133333,583.596191,48.636833,-300.181396
35,1.166667,583.613525,48.634712,-300.188934
36,1.200000,583.612793,48.636555,-300.195709
37,1.233333,583.631897,48.660770,-300.206177
38,1.266667,583.616333,48.634640,-300.200806
39,1.300000,583.598328,48.632923,-300.182648
40,1.333333,583.609192,48.653854,-300.185944
41,1.366667,583.617554,48.650631,-300.213470
42,1.400000,583.612183,48.641933,-300.190430
43,1.433333,583.597534,48.633259,-300.204346
44,1.466667,583.616516,48.652473,-300.208801
45,1.500000,583.625610,48.637245,-300.197174
46,1.533333,583.623413,48.654408,-300.201935
47,1.566667,583.613586,48.659401,-300.192505
48,1.600000,583.634338,48.629272,-300.203583
49,1.633333,583.620605,48.662453,-300.191864
50,1.666667,583.595398,48.644978,-300.187897
51,1.700000,583.612122,48.659924,-300.201782
52,1.733333,583.629639,48.655193,-300.189148
53,1.766667,583.601196,48.650608,-300.168274
54,1.800000,583.613831,48.639137,-300.178711
55,1.833333,583.609497,48.653637,-300.186066
56,1.866667,583.643677,48.648369,-300.199127
57,1.900000,583.621338,48.652225,-300.185028
58,1.933333,583.618591,48.641964,-300.184601
59,1.966667,583.627625,48.632664,-300.163422
60,2.000000,583.625366,48.647488,-300.184204
61,2.033333,583.612488,48.622196,-300.169128
62,2.066667,583.611389,48.651443,-300.206177
63,2.100000,583.615906,48.646442,-300.155884
64,2.133333,583.619690,48.630722,-300.197998
65,2.166667,583.623169,48.651302,-300.183624
66,2.200000,583.637268,48.646015,-300.204895
67,2.233333,583.647522,48.649494,-300.189758
68,2.266667,583.617798,48.644516,-300.201080
69,2.300000,583.599487,48.628803,-300.205475
70,2.333333,583.639832,48.653580,-300.193054
71,2.366667,583.614319,48.639057,-300.219635
72,2.400000,583.615295,48.638050,-300.194672
73,2.433333,583.621094,48.660450,-300.197998
74,2.466667,583.629944,48.653946,-300.199249
75,2.500000,583.607239,48.651192,-300.203247
76,2.533333,583.630981,48.632263,-300.160797
77,2.566667,583.636719,48.636208,-300.193085
78,2.600000,583.610718,48.640034,-300.184357
79,2.633333,583.626221,48.636780,-300.176544
80,2.666667,583.633850,48.634186,-300.181976
81,2.700000,583.616028,48.647564,-300.210999
82,2.733333,583.619141,48.650047,-300.203979
83,2.766667,583.623169,48.643593,-300.149078
84,2.800000,583.616272,48.635166,-300.191833
85,2.833333,583.610229,48.646843,-300.202667
86,2.866667,583.615112,48.639809,-300.187195
87,2.900000,583.635315,48.638512,-300.176025
88,2.933333,583.622375,48.655544,-300.216156
89,2.966667,583.628906,48.639534,-300.163544
90,3.000000,583.626404,48.629856,-300.186005
91,3.033333,583.615112,48.625618,-300.181091
92,3.066667,583.625061,48.637474,-300.191376
93,3.100000,583.641602,48.651173,-300.191437
94,3.133333,583.597412,48.675049,-300.211395
95,3.166667,583.637878,48.654160,-300.151611
96,3.200000,583.630554,48.666527,-300.141022
97,3.233333,583.664063,48.666161,-300.122223
98,3.266667,583.649658,48.650238,-300.127319
99,3.300000,583.561829,48.680138,-300.124298
100,3.333333,583.534424,48.668976,-300.199280
101,3.366667,583.406372,48.676464,-300.240906
102,3.400000,583.217041,48.717278,-300.241577
103,3.433333,583.188538,48.713223,-300.271606
104,3.466667,583.469543,48.684898,-299.950928
105,3.500000,583.494751,48.720753,-300.023682
106,3.533333,583.681519,48.761032,-299.771790
107,3.566667,583.724609,48.930893,-299.683044
108,3.600000,584.157043,49.521240,-299.540161
109,3.633333,584.530396,51.205612,-298.819336
110,3.666667,585.034485,54.106800,-298.109680
111,3.700000,585.280212,58.734634,-297.424103
112,3.733333,585.911499,65.664139,-296.637482
113,3.766667,586.349548,75.062935,-295.751984
114,3.800000,586.858521,88.131317,-294.231781
115,3.833333,587.492432,104.383606,-293.073151
116,3.866667,588.420898,123.027748,-292.090363
117,3.900000,589.083374,143.977249,-291.168640
118,3.933333,590.066650,167.054230,-290.122345
119,3.966667,590.728333,191.206497,-288.748444
120,4.000000,591.423889,216.500061,-287.754700
121,4.033333,592.174561,242.638184,-287.112183
122,4.066667,592.709229,269.204895,-286.272552
123,4.100000,593.474182,296.237335,-285.639465
124,4.133333,594.055908,323.726807,-285.046143
125,4.166667,594.502869,351.130402,-284.496887
126,4.200000,594.791443,378.887146,-283.709778
